user_id,date,todo_item
Lilli123,2024-06-24,Jette: do the dishes
Lilli123,2024-06-24,Irene: put away dry dishes
Lilli123,2024-06-27,Jette: duster
Lilli123,2024-06-30,Jette: vacuum
Lilli123,2024-06-25,Irene: clean shower
Lilli123,2024-06-28,Irene: clean sponges
Lilli123,2024-06-26,Lilli: bathroom
Lilli123,2024-06-29,Lilli: Take out the trash
Lilli123,2024-07-03,Jette: bathroom
Lilli123,2024-07-06,Jette: Take out the trash
Lilli123,2024-07-01,Irene: do the dishes
Lilli123,2024-07-01,Lilli: put away dry dishes
Lilli123,2024-07-04,Irene: duster
Lilli123,2024-07-07,Irene: vacuum
Lilli123,2024-07-02,Lilli: clean shower
Lilli123,2024-07-05,Lilli: clean sponges
